adj,noun,count
heavy,metal,2075
own,weapon,2074
own,problem,2073
more,half,2072
white,linen,2071
brown,skin,2071
well,judgment,2068
great,pain,2066
far,cry,2066
only,word,2066
fifth,floor,2065
bad,fear,2065
simple,question,2062
last,glance,2062
green,grass,2062
burly,man,2062
other,house,2062
little,head,2061
small,step,2061
safe,haven,2061
same,page,2061
good,hour,2061
big,dog,2057
normal,person,2055
big,hug,2055
high,quality,2055
comfortable,chair,2055
certain,death,2054
large,rock,2052
thick,finger,2051
express,permission,2049
good,faith,2048
olive,oil,2045
sweet,voice,2043
pry,eye,2043
exact,word,2042
young,face,2042
bright,side,2042
tight,jean,2042
fucking,thing,2041
little,noise,2039
different,sort,2039
quick,step,2039
full,head,2038
few,piece,2037
open,hand,2036
early,thirty,2036
old,kid,2034
first,child,2033
serious,trouble,2032
ordinary,people,2031
own,language,2030
left,wrist,2028
firm,hand,2028
next,instant,2027
small,bottle,2027
private,school,2026
inner,door,2026
civil,right,2025
soft,moan,2024
small,island,2024
dead,weight,2024
quick,breath,2024
dead,girl,2022
new,recruit,2020
tired,eye,2020
half,moon,2019
other,lady,2018
little,game,2017
rough,hand,2016
large,city,2016
new,position,2014
nearby,table,2014
full,circle,2013
private,detective,2013
early,stage,2009
own,choice,2009
hot,sun,2009
medium,heat,2005
small,number,2005
many,case,2004
other,work,2003
past,life,2002
new,level,2001
fine,hair,2001
innocent,man,2000
same,feeling,1998
last,century,1997
soft,glow,1997
own,desire,1997
big,difference,1996
back,corner,1996
black,car,1995
big,bed,1995
huge,hand,1994
dark,head,1994
big,body,1994
more,damage,1992
physical,contact,1991
huge,man,1990
black,sky,1989
easy,target,1988
well,life,1987
broken,window,1987
personal,space,1987
medical,attention,1986
square,mile,1985
dead,leaf,1985
dead,eye,1985
large,box,1983
little,bird,1983
white,woman,1983
good,taste,1983
full,scale,1982
human,blood,1982
sick,feeling,1982
other,problem,1981
wooden,bench,1979
same,conclusion,1978
same,thought,1978
warm,skin,1977
quick,hug,1975
pitch,voice,1975
top,step,1975
great,aunt,1974
great,house,1974
slight,nod,1974
foreign,policy,1972
good,company,1971
great,part,1970
inner,wall,1969
light,touch,1969
own,company,1968
unborn,child,1968
public,opinion,1965
clench,fist,1965
physical,pain,1965
same,manner,1965
front,hall,1965
usual,self,1964
own,volition,1964
good,grief,1963
good,cause,1961
big,screen,1961
good,meal,1961
fresh,start,1961
bad,weather,1961
odd,look,1958
human,female,1958
own,interest,1957
raw,material,1956
bad,nightmare,1956
old,fellow,1955
real,danger,1952
wide,berth,1951
cropped,hair,1951
red,line,1950
perfect,time,1950
new,system,1949
simple,fact,1947
other,explanation,1946
more,chance,1946
current,state,1946
cold,blood,1946
other,business,1945
smart,man,1945
thin,hair,1944
own,device,1943
legal,pad,1941
little,attention,1940
poor,people,1940
enough,power,1937
outer,office,1936
upper,level,1935
grown,woman,1934
keen,eye,1934
military,man,1932
pierce,eye,1932
sick,man,1932
know,look,1931
last,question,1931
electric,light,1930
rear,window,1929
dark,brow,1928
very,soul,1927
serious,problem,1927
color,hair,1926
real,one,1926
icy,water,1925
own,reflection,1924
entire,city,1923
long,nose,1923
gray,sky,1922
gruff,voice,1919
first,mate,1918
good,cop,1917
vast,majority,1917
second,glance,1916
mental,image,1916
happy,man,1916
satisfied,smile,1915
long,road,1913
empty,plate,1912
closed,eye,1912
brief,quotation,1912
first,attempt,1911
empty,air,1911
great,day,1910
main,thing,1910
rapid,fire,1908
busy,street,1907
high,boot,1907
close,inspection,1906
brown,bag,1904
big,tree,1904
own,flesh,1904
long,skirt,1901
other,area,1901
full,swing,1900
great,length,1900
right,cheek,1899
human,eye,1899
other,agent,1899
human,woman,1898
twin,brother,1897
west,side,1897
faint,glow,1897
sixth,sense,1896
small,apartment,1896
whole,face,1895
happy,day,1895
last,line,1893
several,thing,1892
limp,body,1891
free,arm,1891
many,memory,1891
secret,place,1889
smooth,surface,1889
grand,jury,1889
amazing,thing,1887
green,leaf,1887
high,spirit,1886
much,energy,1886
sensitive,skin,1886
automatic,weapon,1886
next,weekend,1885
old,song,1885
little,sound,1885
good,quality,1885
sidelong,glance,1884
wild,hair,1884
little,trouble,1883
late,morning,1883
magnifying,glass,1882
young,wife,1881
ordinary,man,1881
private,jet,1880
unshed,tear,1880
big,door,1880
bright,sun,1879
whole,week,1877
complete,control,1877
shadowy,figure,1876
new,release,1875
hard,muscle,1875
small,bowl,1874
other,voice,1874
single,woman,1874
full,bag,1871
enough,people,1870
new,experience,1870
happy,time,1870
warm,day,1867
human,right,1866
first,half,1865
small,way,1865
tiny,hand,1864
second,year,1862
dark,gaze,1861
quick,way,1859
big,surprise,1856
top,shelf,1856
spiral,staircase,1856
big,window,1855
new,line,1854
red,carpet,1852
other,specie,1850
different,part,1850
heavy,boot,1850
new,baby,1850
left,breast,1850
own,ship,1849
dark,curl,1848
same,expression,1848
recent,event,1848
own,question,1847
hoarse,voice,1847
special,place,1844
blonde,woman,1844
beautiful,man,1844
new,family,1843
enough,trouble,1843
white,horse,1843
much,chance,1843
bad,memory,1842
long,history,1841
human,flesh,1841
first,chance,1840
smug,smile,1840
new,year,1839
long,grass,1838
only,explanation,1837
own,story,1836
solid,wall,1836
short,burst,1835
last,page,1835
big,place,1834
black,tie,1834
new,plan,1833
surround,area,1833
empty,street,1833
other,prisoner,1832
intense,eye,1832
full,face,1832
such,luck,1831
wide,shoulder,1829
other,human,1827
dress,man,1826
open,ground,1825
fucking,way,1825
everyday,life,1823
dark,street,1823
cold,floor,1822
little,effort,1819
only,sign,1819
different,angle,1819
harsh,word,1819
part,lip,1818
red,glow,1818
double,bed,1818
wide,mouth,1818
white,people,1817
light,bulb,1817
long,sip,1814
outer,space,1814
full,extent,1813
big,shot,1813
stuff,animal,1813
low,branch,1811
young,soldier,1811
first,glimpse,1811
young,kid,1809
strange,sound,1809
enough,reason,1809
little,problem,1808
poor,soul,1808
more,child,1807
quiet,street,1806
quick,succession,1806
dead,guy,1806
few,meter,1805
flat,voice,1804
heavy,duty,1804
new,building,1803
high,alert,1802
beat,heart,1801
simple,matter,1800
tight,grip,1799
long,room,1798
main,body,1797
direct,hit,1796
huge,grin,1796
open,mind,1795
full,hand,1795
high,time,1794
muscular,arm,1794
shallow,water,1793
direct,line,1792
large,body,1791
little,world,1791
first,choice,1791
red,rose,1790
thick,cock,1790
other,thought,1790
big,head,1790
black,pepper,1790
cold,metal,1789
blue,flame,1788
strong,wind,1788
soft,drink,1787
first,trip,1787
next,one,1787
hard,eye,1787
same,house,1786
unfinished,business,1786
small,army,1786
human,world,1785
miss,person,1784
same,line,1783
half,light,1782
easy,task,1781
adjoining,room,1780
same,fate,1780
other,case,1777
big,family,1776
great,place,1776
many,story,1776
bad,girl,1775
little,fun,1774
open,water,1773
sharp,intake,1773
electronic,work,1773
fine,thing,1773
most,night,1772
little,wave,1772
sudden,silence,1772
right,wrist,1771
smart,thing,1770
late,husband,1770
poor,fellow,1770
bottom,drawer,1769
outer,edge,1768
first,opportunity,1767
black,magic,1765
charming,smile,1765
thick,layer,1764
few,woman,1764
little,interest,1763
much,care,1763
red,blood,1763
own,arm,1763
last,decade,1763
memorial,service,1761
new,light,1761
whole,scene,1760
white,stone,1760
original,plan,1758
lifeless,body,1758
other,race,1757
only,family,1757
other,foot,1756
total,stranger,1755
small,clearing,1754
cool,night,1753
low,rumble,1753
open,sea,1752
high,rate,1751
same,height,1749
dry,land,1749
small,object,1749
rueful,smile,1748
green,dress,1748
black,shadow,1748
bad,people,1748
fake,smile,1748
new,owner,1747
blank,look,1746
next,generation,1746
big,fish,1745
true,friend,1744
more,second,1744
first,rate,1744
smart,ass,1744
small,creature,1744
medical,supply,1741
old,home,1741
entire,length,1741
light,breeze,1741
first,order,1740
low,part,1740
blue,uniform,1738
old,buddy,1738
much,difference,1737
muffled,voice,1737
easy,smile,1736
early,century,1736
bad,kind,1736
open,wound,1735
narrow,corridor,1735
low,light,1735
sudden,urge,1734
entire,thing,1734
nice,people,1733
wet,clothe,1732
scrambled,egg,1732
holy,water,1732
more,force,1732
confused,look,1732
genuine,smile,1730
junior,officer,1730
new,beginning,1729
more,shot,1729
booming,voice,1728
hard,day,1726
same,level,1726
strange,sensation,1726
sudden,appearance,1726
full,house,1725
good,riddance,1724
grim,smile,1723
fifteen,minute,1722
second,place,1722
last,weekend,1720
own,apartment,1719
first,couple,1719
same,effect,1718
single,moment,1717
large,space,1715
standard,procedure,1714
whole,area,1714
big,cat,1714
own,fear,1714
small,laugh,1711
natural,thing,1711
white,cloth,1711
good,spirit,1710
deep,kiss,1710
empty,stomach,1710
total,darkness,1710
only,choice,1710
third,person,1709
personal,assistant,1708
narrow,window,1707
first,edition,1707
big,ship,1706
many,book,1706
most,time,1706
further,question,1706
good,father,1705
foreign,language,1705
big,hole,1705
key,card,1705
simple,word,1704
heavy,rain,1704
great,risk,1704
black,cloak,1703
second,wife,1703
cold,weather,1703
other,planet,1702
proper,place,1701
whole,year,1699
sharp,knife,1699
inner,voice,1699
nearby,tree,1698
such,place,1698
little,detail,1698
pointed,look,1697
dangerous,thing,1697
small,bit,1697
great,difficulty,1694
pubic,hair,1694
other,leg,1693
good,answer,1692
little,secret,1692
front,end,1692
white,hand,1692
gentle,voice,1691
good,soldier,1691
most,case,1690
other,player,1689
terrible,mistake,1689
stark,contrast,1687
wide,world,1687
whole,country,1687
deep,blue,1687
little,book,1686
cold,beer,1685
hard,stare,1685
good,bit,1685
second,son,1684
long,dress,1684
uncomfortable,silence,1684
top,half,1684
fetal,position,1682
pale,hair,1682
great,good,1682
outstretche,hand,1680
reassuring,smile,1680
bottled,water,1679
slight,movement,1679
round,eye,1679
wrong,person,1678
much,sleep,1678
warm,feeling,1677
black,stone,1676
lovely,face,1675
old,bastard,1675
strong,finger,1674
last,meeting,1673
same,problem,1672
back,entrance,1671
shallow,breath,1671
federal,agent,1670
extra,money,1670
grow,man,1669
direct,order,1669
own,reason,1669
favorite,thing,1669
whole,affair,1668
finger,hand,1668
pretty,boy,1668
more,help,1668
good,wife,1668
small,place,1668
few,place,1667
good,option,1667
right,answer,1667
fall,snow,1666
important,people,1665
eld,daughter,1665
first,door,1664
gentle,smile,1664
old,dog,1664
big,question,1664
first,encounter,1664
beautiful,place,1663
short,life,1663
own,term,1663
mere,thought,1662
good,fight,1662
foreign,country,1662
white,line,1662
sure,sign,1661
new,form,1661
red,dot,1661
full,strength,1660
right,people,1660
hard,feeling,1660
small,face,1659
such,notice,1659
soft,tone,1658
deep,end,1658
low,body,1657
much,interest,1656
only,daughter,1656
good,side,1656
other,possibility,1656
quick,work,1655
real,deal,1655
modern,world,1655
open,gate,1655
decent,man,1655
precious,time,1653
gentle,touch,1653
red,mark,1653
deep,space,1652
large,sum,1652
tall,glass,1652
red,gold,1650
second,nature,1650
hot,guy,1649
several,yard,1648
pink,lip,1648
cold,day,1647
miss,call,1647
back,stair,1647
new,face,1646
angry,voice,1646
chief,officer,1646
own,hair,1645
broken,leg,1645
great,work,1645
long,flight,1643
quizzical,look,1643
swollen,lip,1643
second,shot,1642
wary,eye,1642
loud,music,1641
broad,face,1641
low,hill,1641
different,name,1641
late,thirty,1640
high,pressure,1639
dry,leaf,1639
sandy,hair,1639
old,timer,1639
comfortable,position,1637
long,haul,1637
loud,crack,1637
dirty,clothe,1636
large,ship,1636
non,right,1635
several,place,1635
long,body,1635
back,end,1634
tough,time,1634
wooden,spoon,1633
many,week,1633
little,car,1633
regular,interval,1633
gentle,breeze,1632
much,pleasure,1632
long,tail,1632
old,clothe,1632
mental,illness,1631
long,talk,1630
warm,breeze,1630
immune,system,1630
blond,woman,1630
heavy,footstep,1630
bushy,eyebrow,1629
own,wife,1628
enough,evidence,1627
left,wing,1627
other,being,1626
real,question,1626
later,year,1626
little,chat,1626
first,reaction,1625
private,conversation,1625
real,friend,1624
more,experience,1624
sized,bed,1623
rapid,succession,1622
good,mother,1622
private,office,1622
true,name,1621
own,self,1620
distinct,impression,1619
american,people,1619
watery,eye,1618
great,strength,1618
wide,range,1618
average,height,1618
full,story,1618
quick,movement,1618
personal,experience,1617
several,dozen,1617
red,shirt,1617
own,land,1615
own,money,1614
deep,red,1614
darken,sky,1614
fill,eye,1613
good,deed,1613
white,sand,1611
holy,man,1610
such,circumstance,1610
fine,day,1610
enough,space,1609
last,sentence,1609
shudder,breath,1609
low,class,1609
dark,magic,1609
cold,stone,1609
fourth,day,1609
attractive,man,1609
great,importance,1608
next,afternoon,1608
many,girl,1608
little,space,1608
empty,table,1608
pine,needle,1607
key,ring,1606
well,word,1606
good,thinking,1605
right,amount,1604
much,weight,1602
own,sister,1602
same,result,1602
heavy,breath,1601
crowded,room,1601
wild,beast,1599
broken,arm,1598
evil,spirit,1598
low,key,1598
brief,pause,1597
harsh,voice,1596
first,job,1595
only,response,1595
other,couple,1595
close,call,1594
hard,ground,1593
medical,care,1593
narrow,bed,1592
magnetic,field,1592
break,glass,1592
blue,gaze,1591
small,kitchen,1590
thick,accent,1590
attempt,murder,1590
more,space,1590
new,generation,1589
bad,taste,1588
brief,time,1588
slow,step,1588
slight,hint,1588
american,woman,1586
blank,expression,1585
long,hall,1584
first,flight,1584
high,class,1581
tall,one,1580
shaky,hand,1580
own,thing,1579
mutual,friend,1578
evil,eye,1578
single,time,1578
great,door,1578
other,source,1576
own,weight,1575
back,road,1574
following,morning,1573
quiet,place,1573
small,detail,1572
little,boat,1572
large,family,1571
same,type,1570
evil,man,1570
next,table,1570
last,spring,1569
other,piece,1569
high,standard,1569
next,book,1569
small,stone,1568
free,fall,1568
dark,eyebrow,1568
little,sleep,1568
good,wish,1566
old,folk,1565
much,hope,1565
wide,circle,1565
right,track,1564
multiple,time,1564
old,wound,1564
old,hand,1563
second,door,1562
certain,point,1562
clenched,tooth,1562
large,desk,1561
lean,body,1561
very,top,1561
ancient,history,1561
second,look,1560
massive,door,1559
serial,number,1558
change,room,1557
gray,cloud,1557
second,thing,1557
dry,grass,1557
bottom,step,1557
fourth,time,1557
important,matter,1556
new,identity,1556
bright,star,1555
old,truck,1555
young,warrior,1554
twin,sister,1554
bad,person,1554
little,talk,1554
final,moment,1553
low,cut,1553
look,glass,1552
small,fortune,1552
sweet,thing,1552
long,row,1551
thick,cloud,1551
uneasy,feeling,1550
new,body,1548
usual,way,1548
large,bed,1547
upper,deck,1547
same,smile,1547
new,toy,1546
dark,secret,1544
own,idea,1543
harsh,light,1543
major,city,1542
more,energy,1542
narrow,alley,1542
warm,eye,1542
blank,wall,1541
thin,woman,1540
long,pull,1539
main,area,1539
civil,servant,1538
first,row,1538
electric,shock,1537
new,weapon,1537
important,question,1536
black,beard,1536
other,customer,1535
small,tree,1534
opposite,sex,1533
back,garden,1533
practical,joke,1533
good,show,1532
short,work,1532
good,family,1531
own,parent,1531
conscious,thought,1531
little,baby,1530
main,course,1530
old,style,1530
own,mouth,1530
dark,alley,1529
perfect,day,1529
green,bean,1529
clear,shot,1529
crazy,man,1529
fresh,meat,1529
real,work,1528
bad,situation,1527
gorgeous,man,1527
local,paper,1527
many,century,1527
old,saying,1526
clean,shirt,1526
good,spot,1526
uncertain,term,1525
little,shop,1525
cloudless,sky,1524
chief,engineer,1524
brief,second,1524
steady,gaze,1524
small,party,1523
single,tear,1522
steady,rhythm,1522
direct,contact,1520
few,item,1520
tall,guy,1520
new,client,1520
first,look,1519
sear,pain,1519
flushed,face,1519
other,brother,1518
brief,smile,1518
second,ring,1517
good,example,1517
good,condition,1517
many,thousand,1517
shaggy,hair,1517
sharp,turn,1515
easy,access,1515
hard,nipple,1515
other,company,1514
true,feeling,1514
little,hope,1514
kind,man,1514
quick,nod,1513
bitter,taste,1512
other,patient,1511
dangerous,place,1511
dull,ache,1511
other,story,1510
empty,box,1509
steep,hill,1509
black,shape,1509
true,identity,1509
front,leg,1509
good,course,1509
hold,cell,1508
own,rule,1507
narrow,face,1506
other,vampire,1506
large,crowd,1506
other,nation,1505
white,powder,1505
flat,surface,1504
special,thank,1503
much,love,1503
perfect,opportunity,1503
happy,family,1503
great,love,1503
much,room,1503
foul,play,1502
east,side,1502
slender,finger,1501
wrong,man,1501
cold,shower,1500
other,weapon,1500
first,husband,1500
nervous,energy,1500
glow,eye,1500
hard,edge,1500
wrong,idea,1500
such,pain,1500
very,night,1499
last,hope,1499
human,hand,1498
great,gift,1498
big,secret,1497
next,part,1497
bloody,hand,1497
good,heart,1497
equal,part,1496
tight,line,1495
tailor,suit,1495
little,fellow,1495
long,wait,1494
give,name,1494
black,cat,1494
last,bite,1494
more,night,1492
great,one,1491
own,lip,1490
short,way,1490
great,tree,1489
slight,idea,1489
first,priority,1488
raise,voice,1488
spare,bedroom,1487
little,sense,1486
old,memory,1486
dead,center,1486
own,account,1486
sole,purpose,1486
desperate,attempt,1485
old,soldier,1485
lovely,girl,1484
fine,job,1484
much,water,1484
own,pleasure,1484
own,sword,1484
last,letter,1484
few,block,1483
back,way,1482
narrow,lane,1481
thin,arm,1481
first,morning,1480
smart,girl,1480
more,woman,1480
good,kind,1479
long,sword,1479
human,brain,1479
cold,voice,1479
entire,area,1478
stocky,man,1478
good,laugh,1477
second,level,1477
black,trouser,1477
yellow,hair,1477
wild,goose,1477
last,winter,1476
gray,light,1476
own,strength,1476
dark,hole,1476
safe,side,1475
mere,inch,1475
great,uncle,1475
broad,grin,1475
little,distance,1475
half,circle,1474
human,voice,1474
good,smile,1474
new,pair,1473
white,eye,1473
small,desk,1473
exact,opposite,1473
nice,person,1473
white,collar,1472
much,food,1472
general,store,1472
dark,stain,1472
busy,man,1471
well,shape,1470
little,ball,1470
such,word,1470
good,term,1470
first,guy,1469
small,scale,1468
small,time,1468
wet,pussy,1468
brilliant,light,1467
bloody,thing,1466
awkward,moment,1465
past,minute,1464
short,woman,1464
real,trouble,1464
main,deck,1463
entire,night,1463
small,light,1462
local,station,1462
fade,jean,1462
poor,creature,1460
big,game,1459
more,book,1458
own,purpose,1458
good,excuse,1457
wind,road,1457
rational,thought,1457
good,lawyer,1457
muscular,body,1457
fair,skin,1456
rightful,place,1455
black,horse,1455
light,kiss,1455
lost,cause,1454
silly,thing,1453
great,relief,1453
sheer,force,1453
low,ceiling,1453
first,letter,1452
few,page,1451
mental,state,1451
new,boyfriend,1450
strange,woman,1449
extended,family,1449
confine,space,1449
serious,look,1448
dark,thought,1448
defensive,position,1445
tight,shirt,1443
small,craft,1443
military,service,1443
real,job,1443
small,arm,1442
same,number,1442
other,sign,1441
gay,man,1441
long,robe,1441
young,adult,1441
naval,officer,1441
big,step,1441
complete,silence,1440
hard,floor,1440
great,detail,1439
high,risk,1439
steady,hand,1437
last,fall,1437
french,window,1437
deep,thought,1437
small,shop,1437
little,hole,1436
huge,room,1436
wonderful,man,1436
fine,point,1435
own,office,1435
very,existence,1435
quick,check,1433
dear,fellow,1433
own,plan,1433
rear,seat,1432
great,honor,1432
focal,point,1432
physical,evidence,1431
important,man,1431
first,lesson,1430
precise,moment,1430
own,breathing,1430
boil,egg,1429
ready,room,1429
married,life,1428
dead,thing,1428
wee,bit,1428
big,party,1428
flat,stomach,1426
brief,glimpse,1426
first,stop,1425
nervous,laugh,1425
sudden,rush,1424
other,chair,1424
close,door,1423
front,paw,1422
distant,sound,1422
gloved,finger,1422
white,gown,1421
wounded,man,1420
right,fist,1420
bright,day,1420
useful,information,1419
shape,face,1419
next,man,1419
heavy,hand,1418
same,amount,1418
good,price,1418
fresh,fruit,1418
wee,hour,1417
happy,life,1416
brilliant,idea,1416
great,force,1416
other,line,1415
heavy,heart,1414
heavy,bag,1414
familiar,scent,1413
much,space,1413
usual,place,1412
wonderful,time,1412
great,success,1412
particular,reason,1412
broken,nose,1411
tight,circle,1411
own,throat,1411
strong,voice,1411
human,history,1411
familiar,sound,1410
sharp,point,1410
blind,light,1410
crazy,idea,1409
lovely,lady,1409
clean,air,1408
old,city,1408
active,duty,1408
medium,height,1408
small,world,1407
brown,paper,1407
dark,lash,1406
military,force,1405
fashioned,way,1405
good,sex,1405
natural,cause,1405
past,decade,1404
slight,breeze,1404
bitter,laugh,1404
square,inch,1403
hard,length,1403
same,girl,1403
full,body,1402
other,eye,1402
crisp,air,1402
false,alarm,1402
personal,question,1400
full,blast,1400
last,meal,1400
small,glass,1399
late,century,1399
good,team,1399
next,breath,1399
last,straw,1399
foul,mood,1399
long,conversation,1399
first,contact,1398
other,cop,1398
unanswered,question,1398
second,night,1397
great,news,1397
right,turn,1396
few,line,1396
late,summer,1395
terrorist,attack,1395
only,girl,1395
narrow,passage,1395
short,leg,1394
nice,way,1394
dark,day,1394
magical,power,1394
following,year,1394
tiny,smile,1393
old,trick,1393
bad,enemy,1392
dear,girl,1392
neat,row,1392
soft,bed,1390
sudden,death,1389
other,body,1389
little,bag,1388
sitting,room,1387
odd,way,1387
strange,creature,1386
enlisted,man,1386
sudden,thought,1385
soft,touch,1385
second,round,1385
small,price,1385
high,rank,1384
naked,eye,1384
wound,man,1384
fresh,bread,1384
narrow,space,1383
dirty,dish,1383
wait,area,1383
new,school,1382
bright,hair,1382
certain,people,1382
short,range,1382
fleeting,moment,1381
face,man,1381
tall,girl,1381
know,smile,1379
potted,plant,1379
new,technology,1379
real,father,1378
soft,laugh,1378
other,boat,1378
little,party,1377
own,horse,1377
high,altitude,1377
great,fear,1377
good,husband,1377
haired,boy,1376
steady,pace,1375
big,plan,1374
sexy,smile,1374
whole,process,1374
faint,idea,1374
odd,job,1373
small,portion,1373
own,gun,1373
silver,eye,1373
large,hole,1372
true,story,1372
executive,officer,1372
weak,spot,1371
very,reason,1371
favorite,color,1371
big,chair,1371
lean,man,1370
good,decision,1369
first,act,1369
small,breast,1368
young,mother,1368
ancient,time,1368
black,line,1368
second,set,1367
small,pile,1367
excellent,idea,1367
general,public,1367
more,harm,1365
perfect,match,1365
great,way,1365
foster,home,1365
good,cook,1364
other,warrior,1364
short,cut,1363
small,chamber,1363
own,breath,1363
dead,silence,1362
empty,lot,1362
many,minute,1362
large,chunk,1362
cold,finger,1362
young,gentleman,1362
hard,chest,1361
lucky,one,1360
final,day,1360
large,glass,1360
same,hair,1360
enough,water,1360
only,member,1360
enough,air,1359
full,advantage,1358
well,luck,1358
top,table,1358
rainy,day,1358
sexy,man,1357
hot,summer,1356
black,people,1356
cupped,hand,1355
entire,planet,1355
black,uniform,1355
great,eye,1355
large,stone,1355
warm,night,1354
sharp,blade,1353
sexual,tension,1353
other,male,1353
tiny,light,1353
nice,house,1353
lopsided,grin,1353
single,room,1352
blank,stare,1352
low,building,1352
gorgeous,eye,1351
bright,spot,1351
last,call,1350
little,village,1350
bad,sign,1349
other,dog,1349
same,path,1349
more,light,1349
narrow,hallway,1348
own,version,1348
surprised,look,1348
old,shirt,1348
only,thought,1347
superior,officer,1347
wild,man,1346
large,screen,1346
new,ship,1346
holy,fuck,1346
tight,hug,1344
long,strand,1344
sly,grin,1344
angry,man,1343
criminal,record,1343
young,life,1342
tiny,figure,1342
old,face,1341
many,occasion,1341
dark,tunnel,1341
nervous,breakdown,1341
big,piece,1341
large,force,1340
certain,kind,1340
odd,angle,1340
huge,amount,1340
whole,group,1340
little,people,1339
first,bite,1339
little,work,1339
little,joke,1338
tight,fist,1338
high,hope,1338
british,accent,1338
precious,stone,1337
new,shoe,1336
human,face,1336
exact,thing,1335
alien,ship,1335
new,partner,1335
steady,breath,1334
solid,rock,1333
pretty,thing,1333
different,level,1332
good,match,1332
nice,try,1331
top,priority,1331
pink,dress,1331
white,flower,1331
good,wine,1330
sweet,spot,1330
high,power,1330
long,blade,1329
wild,eye,1329
bad,night,1329
thick,smoke,1329
small,patch,1329
soft,sigh,1329
dead,tree,1328
own,action,1328
half,truth,1328
large,pot,1327
bright,flash,1327
sweet,kiss,1326
undivided,attention,1326
great,height,1326
distant,memory,1326
bad,decision,1326
very,heart,1325
bare,breast,1325
silly,girl,1324
loved,one,1323
great,joy,1323
puzzled,expression,1323
lean,face,1323
strong,sense,1322
beautiful,wife,1322
heavy,coat,1321
own,door,1321
rhetorical,question,1321
swift,movement,1320
personal,item,1320
desire,effect,1320
private,property,1319
warm,light,1318
huge,tree,1318
wrinkle,face,1317
junior,year,1317
large,quantity,1317
strange,noise,1316
thick,arm,1316
only,weapon,1315
empty,bed,1315
polite,smile,1315
old,family,1315
own,end,1313
brief,silence,1313
small,bedroom,1313
big,news,1313
own,tongue,1313
internal,organ,1313
faint,scent,1313
sixth,floor,1312
smart,woman,1312
sudden,burst,1312
hard,core,1312
hot,kiss,1311
more,life,1311
half,step,1311
other,breast,1311
mortal,man,1311
thick,lash,1311
black,night,1310
more,pressure,1310
black,dog,1310
thick,carpet,1310
low,groan,1310
early,forty,1310
blue,fire,1309
abrupt,halt,1309
long,beard,1309
whole,system,1309
tiny,thing,1309
big,bag,1309
facial,feature,1308
long,stroke,1308
smart,guy,1308
different,circumstance,1308
main,office,1308
other,horse,1307
second,cup,1307
black,lace,1306
main,part,1306
red,pepper,1305
wrong,turn,1305
same,idea,1305
first,victim,1304
little,water,1304
loud,bang,1304
first,room,1304
white,paper,1304
small,screen,1304
good,dog,1303
first,hint,1303
black,belt,1303
perfect,tooth,1302
next,person,1302
enough,energy,1301
good,order,1301
bind,book,1299
white,noise,1299
open,hatch,1298
late,forty,1298
hooded,eye,1297
big,cock,1297
long,shower,1297
right,corner,1296
other,victim,1296
well,person,1296
sit,area,1296
sweet,face,1296
startled,look,1295
enough,information,1295
public,service,1294
hit,man,1294
other,job,1294
several,woman,1294
loose,hair,1293
low,deck,1293
huge,mistake,1293
short,pause,1293
nice,lady,1293
most,folk,1292
expensive,suit,1291
small,square,1291
mental,picture,1290
short,supply,1290
white,guy,1290
large,woman,1290
other,detail,1290
long,swallow,1290
few,drop,1290
bad,choice,1289
cold,foot,1289
little,sigh,1289
big,car,1289
very,air,1289
other,folk,1288
strong,coffee,1288
right,knee,1288
other,party,1288
serious,injury,1286
friendly,face,1286
great,beast,1286
mental,health,1285
constant,reminder,1285
gap,mouth,1285
tousled,hair,1284
other,table,1284
pained,expression,1284
receive,end,1284
stupid,man,1284
hot,sex,1283
several,member,1283
small,band,1283
wet,grass,1283
empty,hand,1283
back,alley,1283
next,meeting,1282
black,blood,1282
much,distance,1282
finishing,touch,1282
deep,level,1282
polished,wood,1281
happy,couple,1279
wealthy,family,1278
fry,pan,1278
solar,plexus,1278
new,suit,1278
several,piece,1278
big,money,1277
local,authority,1277
young,lad,1277
little,bow,1277
pleasant,surprise,1276
warm,bed,1276
black,guy,1276
beautiful,hair,1276
black,spot,1276
deaf,ear,1275
medical,record,1275
new,message,1274
soft,word,1274
right,kind,1273
own,finger,1273
first,call,1273
small,dog,1273
little,use,1272
old,chair,1272
fellow,officer,1272
final,decision,1272
beautiful,body,1271
single,night,1271
single,step,1271
hoarse,whisper,1270
real,power,1269
half,past,1269
thin,voice,1268
entire,town,1268
brilliant,smile,1268
secret,agent,1268
full,glass,1268
right,spot,1267
full,hour,1266
strong,body,1266
pale,cheek,1266
pound,heart,1266
last,trip,1266
gorgeous,woman,1266
small,stream,1265
cold,rain,1265
tense,silence,1265
own,joke,1264
wooden,step,1263
entire,house,1263
slow,movement,1263
clever,man,1263
intense,gaze,1263
far,edge,1263
passionate,kiss,1262
deep,part,1262
hot,coal,1261
different,life,1261
great,speed,1261
old,bone,1261
little,shake,1260
early,start,1260
wrong,word,1260
good,will,1260
upper,part,1259
favorite,part,1259
american,soldier,1259
petty,officer,1259
second,week,1258
next,victim,1258
polar,bear,1256
more,weight,1256
entire,way,1256
full,report,1255
flash,light,1255
entire,face,1255
single,bed,1255
many,level,1255
dangerous,situation,1254
strong,emotion,1254
open,fire,1254
only,source,1254
more,month,1254
honorable,man,1253
hard,surface,1253
eyed,look,1253
