subject,verb,object,count
footstep,make,sound,37
footstep,cross,room,32
footstep,cross,floor,29
footstep,make,way,26
footstep,pound,stair,26
footstep,descend,stair,25
footstep,climb,stair,16
footstep,draw,nearer,15
footstep,enter,room,14
footstep,catch,attention,14
footstep,draw,attention,14
footstep,make,noise,13
footstep,echo,hall,12
footstep,ascend,stair,12
footstep,leave,room,11
footstep,cross,hall,11
footstep,announce,arrival,10
footstep,approach,room,10
footstep,pass,door,10
footstep,grow,fainter,10
force,take,control,20
force,meet,object,17
force,launch,attack,14
force,cross,border,11
force,open,fire,11
force,have,effect,11
force,make,way,11
force,knock,breath,10
force,have,time,10
forehead,touch,floor,22
forehead,touch,her,18
forehead,touch,ground,15
forest,give,way,42
form,take,shape,51
form,fill,doorway,21
form,follow,function,16
form,take,place,11
fortune,take,turn,14
fragrance,fill,air,19
fragrance,fill,room,15
fragrance,fill,nostril,14
frame,fill,doorway,29
france,shake,head,11
franchise,kick,gen,28
freckle,dot,nose,10
frederick,shake,head,10
friend,shake,head,78
friend,take,care,50
friend,have,idea,49
friend,need,help,42
friend,roll,eye,31
friend,have,time,31
friend,have,party,30
friend,ask,question,26
friend,hold,hand,25
friend,make,way,24
friend,give,look,22
friend,have,chance,22
friend,have,friend,22
friend,tell,truth,22
friend,say,thing,21
friend,have,problem,21
friend,have,name,20
friend,have,lot,20
friend,find,way,19
friend,have,point,19
friend,keep,secret,18
friend,spend,night,18
friend,lose,mind,17
friend,put,hand,16
friend,have,trouble,16
friend,have,reason,15
friend,have,interest,15
friend,open,door,15
friend,tell,story,14
friend,take,hand,14
friend,place,hand,14
friend,make,fun,14
friend,have,sense,14
friend,have,thing,14
friend,pay,visit,13
friend,spend,time,13
friend,take,turn,13
friend,turn,back,12
friend,have,back,12
friend,shake,hand,12
friend,have,information,12
friend,have,baby,12
friend,take,breath,12
friend,take,picture,12
friend,take,place,12
friend,throw,party,12
friend,have,money,11
friend,have,power,11
friend,have,way,11
friend,have,boyfriend,11
friend,pay,attention,11
friend,give,smile,11
friend,take,leave,11
friend,have,kind,11
friend,give,number,10
friend,exchange,glance,10
friend,have,life,10
friend,have,experience,10
friend,take,seat,10
friend,take,time,10
friend,have,hair,10
friend,give,nod,10
friend,enter,room,10
friendship,mean,world,15
friendship,mean,lot,13
frown,crease,forehead,115
frown,cross,face,105
frown,crease,brow,100
frown,mar,forehead,30
frown,wrinkle,forehead,24
frown,crease,face,23
frown,mar,brow,22
frown,mar,face,22
frown,wrinkle,brow,22
frown,furrow,brow,18
frown,pucker,brow,17
frown,knit,brow,17
frown,cross,brow,17
frown,cross,feature,15
frown,replace,smile,14
frown,draw,brow,13
frown,leave,face,13
frown,mar,feature,11
frown,darken,face,10
frown,pucker,forehead,10
fume,fill,air,10
funeral,take,place,88
fur,cover,body,18
furniture,fill,room,11
furrow,crease,brow,11
fury,give,strength,14
fury,give,way,10
future,take,care,35
féliciter,pause,dan,28
féliciter,pause,table,28
gage,shake,head,14
game,have,rule,24
game,take,place,23
gasp,escape,lip,149
gasp,fill,room,25
gasp,escape,throat,24
gasp,fill,air,21
gasp,escape,mouth,19
gasp,leave,lip,18
gasp,nyní,ponětí,17
gasp,leave,mouth,10
gate,give,way,11
gathering,take,place,22
gaze,meet,her,333
gaze,leave,face,189
gaze,meet,mine,184
gaze,hold,her,149
gaze,search,face,147
gaze,sweep,room,131
gaze,travel,length,74
gaze,leave,her,72
gaze,hold,mine,71
gaze,search,her,51
gaze,rake,body,50
gaze,roam,face,46
gaze,follow,her,43
gaze,travel,body,41
gaze,meet,eye,41
gaze,catch,her,41
gaze,follow,movement,38
gaze,follow,finger,37
gaze,find,her,35
gaze,leave,mine,33
gaze,scan,room,32
gaze,sweep,body,29
gaze,follow,hand,28
gaze,follow,path,28
gaze,scan,crowd,26
gaze,roam,body,25
gaze,lose,focus,25
gaze,capture,her,25
gaze,follow,line,24
gaze,catch,mine,22
gaze,slide,body,22
gaze,burn,hole,21
gaze,rake,face,20
gaze,caress,face,20
gaze,roam,room,19
gaze,search,room,19
gaze,scan,face,18
gaze,scan,area,18
gaze,leave,eye,17
gaze,sweep,wall,16
gaze,sweep,crowd,16
gaze,sweep,area,16
gaze,sweep,face,15
gaze,travel,room,14
gaze,follow,direction,14
gaze,study,face,14
gaze,search,mine,14
gaze,trace,line,13
gaze,sweep,length,12
gaze,take,face,12
gaze,follow,move,12
gaze,skim,body,12
gaze,move,body,11
gaze,take,room,11
gaze,find,way,11
gaze,pierce,her,11
gaze,speak,volume,11
gaze,follow,arm,11
gaze,sweep,line,11
gaze,follow,mine,11
gaze,make,contact,10
gaze,find,face,10
gear,turn,head,27
gene,skip,generation,11
general,shake,head,44
general,give,order,14
general,raise,eyebrow,12
general,wave,hand,12
gentleman,enter,room,19
gentleman,open,door,12
gentleman,prefer,blonde,10
gesture,have,effect,14
gesture,reach,eye,12
gesture,bring,tear,10
ghost,touch,lip,48
ghost,cross,face,20
ghost,shake,head,17
ghost,haunt,place,14
giant,take,step,16
giant,shake,head,14
giggle,escape,lip,42
giggle,escape,throat,13
gile,shake,head,10
girl,shake,head,352
girl,have,hair,118
girl,hold,hand,91
girl,roll,eye,82
girl,give,look,81
girl,open,door,75
girl,put,hand,75
girl,have,idea,68
girl,make,way,65
girl,have,time,63
girl,wear,dress,58
girl,take,step,56
girl,raise,hand,54
girl,have,eye,51
girl,turn,head,49
girl,have,chance,46
girl,take,care,46
girl,have,fun,44
girl,give,smile,43
girl,open,mouth,43
girl,enter,room,41
girl,catch,eye,36
girl,take,hand,36
girl,exchange,glance,36
girl,say,word,35
girl,have,name,35
girl,have,friend,34
girl,have,problem,34
girl,spend,time,33
girl,open,eye,33
girl,raise,head,33
girl,close,eye,31
girl,have,face,30
girl,need,help,30
girl,lift,head,30
girl,bite,lip,29
girl,take,turn,29
girl,tell,truth,28
girl,make,sound,28
girl,have,way,27
girl,play,game,27
girl,nod,head,27
girl,have,thing,27
girl,have,sense,27
girl,have,right,27
girl,have,hand,26
girl,have,crush,26
girl,exchange,look,26
girl,shrug,shoulder,25
girl,pay,attention,24
girl,ask,question,24
girl,have,lot,23
girl,wrap,arm,23
girl,spend,night,23
girl,tilt,head,23
girl,take,breath,23
girl,have,talent,23
girl,have,reason,23
girl,wear,skirt,22
girl,have,boyfriend,22
girl,have,sex,22
girl,take,place,21
girl,have,trouble,21
girl,leave,room,21
girl,make,mistake,21
girl,say,thing,21
girl,have,look,20
girl,tell,story,20
girl,turn,face,20
girl,have,baby,20
girl,raise,eyebrow,20
girl,take,seat,20
girl,make,face,18
girl,break,heart,17
girl,make,noise,17
girl,take,look,17
girl,have,power,17
girl,clap,hand,17
girl,have,kind,17
girl,raise,eye,17
girl,take,time,17
girl,poke,head,16
girl,stand,chance,16
girl,catch,attention,16
girl,lose,mind,16
girl,clear,throat,16
girl,reach,hand,16
girl,have,money,15
girl,have,taste,15
girl,show,sign,15
girl,have,luck,15
girl,live,life,15
girl,throw,arm,15
girl,give,nod,15
girl,spend,hour,15
girl,find,way,14
girl,wear,clothe,14
girl,narrow,eye,14
girl,have,point,14
girl,turn,eye,14
girl,bob,head,14
girl,change,mind,14
girl,close,door,14
girl,grab,arm,14
girl,need,time,13
girl,shoot,look,13
girl,put,head,13
girl,wear,jean,13
girl,touch,arm,13
girl,toss,head,13
girl,have,family,13
girl,know,thing,13
girl,lift,hand,13
girl,bow,head,13
girl,stand,ground,13
girl,bury,face,13
girl,commit,suicide,13
girl,smile,smile,13
girl,have,brain,12
girl,have,room,12
girl,have,secret,12
girl,have,smile,12
girl,have,gut,12
girl,wear,ring,12
girl,keep,head,12
girl,meet,eye,12
girl,need,mother,12
girl,put,finger,12
girl,cast,look,12
girl,have,place,12
girl,give,birth,12
girl,have,choice,12
girl,speak,word,12
girl,take,life,12
girl,spend,year,11
girl,let,scream,11
girl,wear,short,11
girl,lead,way,11
girl,lead,life,11
girl,have,plan,11
girl,keep,eye,11
girl,make,effort,11
girl,hold,arm,11
girl,stick,head,11
girl,have,ball,11
girl,make,attempt,11
girl,have,strength,11
girl,wear,hair,11
girl,waste,time,11
girl,have,leg,11
girl,have,life,11
girl,give,glance,11
girl,have,mind,11
girl,grab,hand,11
girl,sing,song,11
girl,flash,smile,11
girl,cover,mouth,11
girl,catch,sight,11
girl,link,arm,10
girl,have,memory,10
girl,get,look,10
girl,give,time,10
girl,clasp,hand,10
girl,have,need,10
girl,cock,head,10
girl,answer,phone,10
girl,give,laugh,10
girl,make,fun,10
girl,make,decision,10
girl,take,clothe,10
girl,lose,mother,10
girl,have,one,10
girl,cross,arm,10
girl,know,name,10
girl,hold,breath,10
girl,have,father,10
girl,have,tooth,10
girl,have,issue,10
girl,have,skin,10
girl,push,way,10
girl,place,hand,10
glance,confirm,suspicion,20
glance,confirm,fear,15
glance,change,mind,14
glance,tell,story,12
glance,show,sign,10
glare,hurt,eye,19
glass,slide,nose,32
glass,hide,eye,18
glass,magnify,eye,17
glass,litter,floor,16
glass,give,way,14
glass,give,look,12
glass,cover,eye,10
glass,reflect,light,10
glass,catch,light,10
glass,slip,nose,10
gleam,enter,eye,55
gleam,light,eye,43
gleam,catch,eye,25
glimmer,catch,eye,28
glimmer,cross,face,15
glimpse,catch,eye,11
glint,catch,eye,101
glint,light,eye,36
glint,enter,eye,26
glint,catch,attention,20
gloom,give,way,11
glove,cover,hand,23
glove,protect,hand,12
glow,light,face,36
glow,fill,room,21
glow,cast,shadow,19
glow,light,sky,16
glow,illuminate,face,15
glow,catch,eye,13
glow,light,room,13
glow,cast,light,12
glow,illuminate,room,12
glow,surround,woman,10
god,have,mercy,48
god,take,pity,18
god,have,power,18
god,have,plan,15
god,walk,earth,15
god,hear,prayer,13
god,give,strength,12
god,give,gift,10
government,have,right,20
government,take,step,16
government,take,care,16
government,take,action,15
government,pass,law,13
government,have,interest,12
government,have,idea,12
government,find,way,12
government,have,power,12
government,have,time,11
government,have,choice,11
government,have,control,11
government,make,mistake,11
government,have,money,10
gown,have,sleeve,12
grace,shake,head,31
grace,close,eye,13
grace,have,idea,13
grace,open,door,13
grace,put,hand,10
grace,take,breath,10
grandfather,build,house,26
grandfather,shake,head,20
grandfather,tell,story,16
grandmother,shake,head,27
grandmother,tell,story,19
grandmother,take,care,15
grass,give,way,28
gravity,take,hold,24
green,give,way,17
grimace,cross,face,25
grin,split,face,214
grin,cross,face,146
grin,light,face,140
grin,curve,lip,73
grin,leave,face,49
grin,touch,lip,38
grin,crease,face,36
grin,twist,lip,36
grin,cover,face,33
grin,curl,lip,30
grin,cross,lip,29
grin,stretch,lip,28
grin,take,face,24
grin,show,tooth,23
grin,stretch,mouth,21
grin,curve,mouth,21
grin,split,lip,19
grin,lift,lip,18
grin,fill,face,18
grin,reveal,tooth,17
grin,crack,face,16
grin,lift,corner,15
grin,stretch,face,13
grin,spread,lip,12
grin,quirk,lip,11
grin,reach,eye,10
grin,turn,corner,10
grin,work,way,10
groan,escape,lip,140
groan,escape,throat,59
groan,fill,air,19
groan,fill,room,17
groan,leave,lip,16
groan,escape,mouth,15
groan,catch,attention,11
groom,see,bride,15
groom,bring,horse,10
groom,lead,horse,10
ground,give,way,105
group,make,way,124
group,claim,responsibility,24
group,round,corner,15
group,cross,street,14
group,take,credit,13
group,turn,corner,12
group,enter,room,12
group,take,position,12
group,have,time,11
group,have,chance,11
group,have,name,11
group,take,seat,11
group,take,step,11
group,play,card,10
group,make,attempt,10
group,claim,credit,10
growl,escape,throat,40
growl,escape,lip,30
growl,fill,air,21
growl,fill,room,15
growl,leave,throat,13
growl,send,shiver,12
growl,leave,lip,10
grunt,escape,lip,22
grunt,fill,room,10
guard,open,door,202
guard,shake,head,98
guard,open,gate,68
guard,unlock,door,52
guard,take,position,46
guard,close,door,45
guard,open,fire,43
guard,exchange,glance,38
guard,grab,arm,37
guard,have,time,35
guard,enter,room,35
guard,give,look,34
guard,take,step,32
guard,draw,sword,31
guard,pay,attention,26
guard,keep,watch,24
guard,put,hand,21
guard,have,order,21
guard,leave,room,21
guard,blow,whistle,21
guard,make,move,20
guard,round,corner,20
guard,change,shift,19
guard,lower,weapon,19
guard,exchange,look,19
guard,leave,post,18
guard,hold,hand,17
guard,make,way,17
guard,shut,door,17
guard,take,place,17
guard,block,way,17
guard,have,idea,16
guard,keep,eye,16
guard,hold,door,16
guard,make,round,16
guard,take,care,15
guard,take,hold,15
guard,raise,hand,15
guard,draw,weapon,14
guard,raise,gun,13
guard,ask,question,13
guard,have,gun,13
guard,have,chance,13
guard,enter,cell,13
guard,have,weapon,13
guard,patrol,ground,13
guard,wear,uniform,13
guard,clear,throat,12
guard,raise,weapon,12
guard,stand,watch,12
guard,make,call,12
guard,bow,head,12
guard,take,aim,11
guard,give,glance,11
guard,take,arm,11
guard,close,gate,11
guard,patrol,wall,11
guard,present,arm,11
guard,pull,door,11
guard,throw,door,11
guard,have,back,11
guard,give,shove,10
guard,raise,sword,10
guard,push,door,10
guard,slam,door,10
guard,bring,food,10
guard,point,gun,10
guard,poke,head,10
guard,stand,sentry,10
guard,give,nod,10
guard,stick,head,10
guest,take,seat,18
guest,have,time,15
guest,enter,room,13
guest,make,way,12
guest,have,idea,10
guide,shake,head,10
gun,open,fire,65
gun,make,noise,22
gun,kill,people,22
gun,make,sound,18
gun,have,range,16
gun,fire,shot,16
gun,fire,round,14
gun,hit,floor,13
gun,clear,holster,13
gun,have,silencer,11
gun,make,difference,10
gunman,open,fire,26
gunner,open,fire,23
gunshot,split,air,10
gust,blow,hair,22
gust,rattle,window,13
gust,ruffle,hair,10
guy,shake,head,148
guy,have,time,95
guy,have,idea,94
guy,take,care,76
guy,have,fun,76
guy,have,problem,71
guy,have,lot,64
guy,have,gun,53
guy,open,door,51
guy,have,hair,48
guy,have,thing,47
guy,need,help,44
guy,pay,attention,44
guy,have,eye,43
guy,have,kind,42
guy,spend,time,40
guy,make,mistake,39
guy,have,fight,39
guy,have,chance,37
guy,have,money,36
guy,give,look,36
guy,make,move,36
guy,hold,hand,35
guy,have,ball,32
guy,put,hand,31
guy,take,step,31
guy,have,clue,30
guy,have,way,30
guy,have,name,30
guy,save,life,29
guy,give,time,29
guy,have,hand,28
guy,have,sense,28
guy,ask,question,27
guy,shake,hand,26
guy,give,creep,25
guy,raise,hand,24
guy,have,plan,24
guy,have,sex,24
guy,have,record,23
guy,have,trouble,23
guy,find,way,23
guy,have,day,23
guy,have,friend,23
guy,make,way,23
guy,take,time,21
guy,turn,head,21
guy,take,look,21
guy,keep,eye,21
guy,have,right,20
guy,have,luck,20
guy,take,turn,20
guy,say,word,20
guy,have,back,20
guy,get,chance,20
guy,get,lot,19
guy,play,game,19
guy,make,fun,19
guy,wear,shirt,19
guy,get,look,19
guy,have,crush,19
guy,wear,suit,19
guy,kill,people,19
guy,have,story,18
guy,take,advantage,18
guy,have,kid,18
guy,have,place,18
guy,have,life,17
guy,close,door,17
guy,have,job,17
guy,know,name,17
guy,mean,business,17
guy,have,information,17
guy,have,arm,16
guy,have,head,16
guy,get,idea,16
guy,get,message,16
guy,wear,hat,16
guy,get,gun,15
guy,give,shit,15
guy,grab,arm,15
guy,have,history,15
guy,have,key,15
guy,have,nerve,15
guy,have,night,15
guy,have,power,15
guy,have,stuff,15
guy,open,mouth,15
guy,roll,eye,15
guy,make,decision,14
guy,have,beard,14
guy,pause,beat,14
guy,have,habit,14
guy,have,issue,14
guy,know,stuff,14
guy,have,skill,14
guy,take,picture,14
guy,take,hint,14
guy,have,girlfriend,14
guy,stand,chance,14
guy,have,family,14
guy,take,shot,14
guy,make,sound,13
guy,catch,eye,13
guy,have,talent,13
guy,take,break,13
guy,play,card,13
guy,waste,time,13
guy,say,thing,13
guy,have,sort,13
guy,change,mind,13
guy,take,seat,13
guy,have,face,13
guy,have,attack,13
guy,make,money,13
guy,wear,jean,13
guy,give,minute,13
guy,tell,story,12
guy,have,rule,12
guy,have,relationship,12
guy,have,phone,12
guy,live,life,12
guy,make,joke,12
guy,have,gut,12
guy,make,noise,12
guy,have,girl,12
guy,pull,gun,12
guy,give,name,12
guy,get,money,12
guy,take,swing,12
guy,get,ball,11
guy,stick,head,11
guy,buy,drink,11
guy,make,sense,11
guy,get,hold,11
guy,have,car,11
guy,tell,truth,11
guy,open,eye,11
guy,get,girl,11
guy,wear,glove,11
guy,have,look,11
guy,have,weapon,11
guy,show,interest,11
guy,break,heart,11
guy,nod,head,11
guy,put,show,10
guy,have,access,10
guy,get,time,10
guy,wear,uniform,10
guy,have,answer,10
guy,see,thing,10
guy,get,call,10
guy,get,break,10
guy,have,reputation,10
guy,get,thing,10
guy,take,place,10
guy,need,time,10
guy,have,tooth,10
guy,have,secret,10
guy,have,heart,10
guy,make,couple,10
guy,make,call,10
guy,have,knife,10
hair,frame,face,262
hair,cover,face,118
hair,brush,cheek,61
hair,hide,face,61
hair,brush,shoulder,60
hair,catch,light,51
hair,have,streak,46
hair,catch,fire,40
hair,tickle,cheek,38
hair,tickle,nose,36
hair,have,look,33
hair,turn,grey,32
hair,give,look,31
hair,tickle,face,28
hair,tickle,skin,27
hair,obscure,face,27
hair,brush,face,27
hair,give,appearance,25
hair,touch,shoulder,24
hair,cover,head,22
hair,curtain,face,22
hair,have,highlight,22
hair,need,washing,21
hair,brush,collar,20
hair,tickle,chin,19
hair,have,wave,18
hair,cover,eye,17
hair,turn,silver,17
hair,brush,arm,16
hair,cascade,shoulder,16
hair,have,curl,16
hair,veil,face,15
hair,have,strand,15
hair,cover,body,15
hair,reach,shoulder,15
hair,show,sign,15
hair,catch,sunlight,15
hair,hang,back,15
hair,whip,face,14
hair,brush,top,14
hair,change,color,14
hair,shield,face,14
hair,frame,feature,13
hair,tickle,neck,12
hair,tumble,shoulder,12
hair,soak,wet,12
hair,catch,attention,11
hair,grow,inch,11
hair,frame,eye,11
hair,cover,chest,11
hair,catch,eye,11
hair,lose,luster,11
hair,cover,part,10
hair,cut,eye,10
hair,have,shine,10
hair,have,hint,10
hair,show,trace,10
hair,tease,nipple,10
hair,surround,face,10
half,close,eye,73
half,raise,hand,12
half,turn,seat,10
hallway,have,door,10
hand,cup,breast,369
hand,grip,arm,363
hand,grip,shoulder,356
hand,cover,mouth,355
hand,touch,shoulder,344
hand,find,way,294
hand,grip,hip,217
hand,cup,face,212
hand,grab,arm,193
hand,cup,cheek,180
hand,grip,wheel,170
hand,stroke,hair,163
hand,touch,arm,162
hand,roam,body,161
hand,grab,shoulder,155
hand,slide,arm,147
hand,cover,her,133
hand,make,way,130
hand,take,hold,129
hand,grip,edge,124
hand,make,contact,114
hand,find,breast,112
hand,grasp,shoulder,104
hand,touch,face,103
hand,slide,thigh,101
hand,cup,back,100
hand,grip,waist,99
hand,squeeze,shoulder,96
hand,grip,wrist,95
hand,grip,hair,93
hand,grasp,arm,92
hand,cover,face,91
hand,touch,cheek,90
hand,explore,body,87
hand,grip,back,85
hand,grab,wrist,85
hand,slide,chest,81
hand,cup,ass,80
hand,work,way,79
hand,touch,skin,78
hand,grip,side,77
hand,slide,back,76
hand,smooth,hair,75
hand,slide,side,73
hand,hold,hip,72
hand,caress,cheek,71
hand,cover,mine,71
hand,frame,face,70
hand,grip,ass,70
hand,cup,chin,69
hand,grip,thigh,66
hand,brush,hair,63
hand,touch,back,63
hand,hold,gun,62
hand,caress,breast,62
hand,move,body,61
hand,catch,arm,59
hand,make,gesture,59
hand,circle,waist,58
hand,clutch,arm,58
hand,stroke,back,58
hand,shade,eye,57
hand,clasp,shoulder,56
hand,hold,her,55
hand,cover,eye,55
hand,cover,breast,55
hand,grab,hold,55
hand,grip,handle,55
hand,leave,breast,54
hand,slide,body,53
hand,shake,shoulder,51
hand,form,fist,51
hand,grab,hair,48
hand,hold,head,47
hand,leave,face,47
hand,caress,back,46
hand,lose,grip,46
hand,find,shoulder,46
hand,make,fist,46
hand,leave,hip,45
hand,slide,leg,45
hand,stroke,cheek,44
hand,touch,mine,44
hand,hold,arm,44
hand,cup,side,44
hand,make,motion,44
hand,touch,chest,44
hand,find,hair,43
hand,catch,wrist,43
hand,have,finger,43
hand,find,hip,43
hand,brush,cheek,43
hand,cup,head,43
hand,hold,knife,43
hand,stroke,arm,43
hand,grab,hip,43
hand,grip,elbow,43
hand,cradle,head,42
hand,cradle,face,42
hand,encircle,waist,41
hand,brush,arm,41
hand,leave,shoulder,40
hand,clutch,shoulder,40
hand,squeeze,breast,40
hand,make,work,40
hand,brush,her,40
hand,cup,ball,39
hand,loosen,grip,38
hand,grab,back,38
hand,find,her,38
hand,touch,her,38
hand,rub,back,38
hand,move,arm,38
hand,grab,ankle,38
hand,tighten,grip,37
hand,caress,face,37
hand,brush,shoulder,37
hand,cup,buttock,37
hand,grab,ass,37
hand,grasp,hip,37
hand,grasp,wrist,37
hand,grip,head,36
hand,squeeze,mine,36
hand,caress,body,36
hand,cup,bottom,36
hand,cup,shoulder,36
hand,grip,forearm,36
hand,find,waist,35
hand,grip,her,34
hand,slide,neck,34
hand,touch,hair,34
hand,leave,body,34
hand,shield,eye,34
hand,grip,sword,33
hand,caress,arm,33
hand,grip,railing,32
hand,hold,face,32
hand,work,magic,32
hand,grip,throat,32
hand,skim,side,31
hand,catch,shoulder,31
hand,massage,breast,31
hand,touch,forehead,31
hand,leave,hair,31
hand,squeeze,her,30
hand,catch,hold,30
hand,seize,arm,30
hand,grip,armrest,30
hand,have,grip,30
hand,have,mind,30
hand,knead,breast,30
hand,cradle,back,30
hand,find,face,29
hand,slide,shoulder,29
hand,squeeze,arm,29
hand,stroke,head,29
hand,clasp,her,29
hand,cup,jaw,29
hand,caress,skin,29
hand,grip,hilt,29
hand,give,squeeze,29
hand,clasp,arm,29
hand,clutch,throat,28
hand,move,back,28
hand,grip,sheet,28
hand,span,waist,28
hand,hold,sword,28
hand,caress,thigh,28
hand,find,back,28
hand,hold,shoulder,27
hand,take,her,27
hand,touch,head,27
hand,make,circle,27
hand,hold,pistol,27
hand,caress,shoulder,27
hand,hold,mine,27
hand,grip,rail,26
hand,move,thigh,26
hand,stroke,cock,26
hand,stroke,face,26
hand,stroke,thigh,26
hand,take,arm,26
hand,touch,elbow,26
hand,touch,wall,26
hand,grip,knee,26
hand,caress,hair,25
hand,touch,side,25
hand,trace,path,25
hand,grip,bicep,25
hand,hold,glass,25
hand,roam,back,25
hand,trace,line,25
hand,touch,hilt,24
hand,release,grip,24
hand,grip,neck,24
hand,run,back,24
hand,cup,mound,24
hand,clutch,side,24
hand,grip,shirt,24
hand,cup,butt,24
hand,clutch,chest,24
hand,clench,wheel,24
hand,travel,body,23
hand,caress,side,23
hand,hold,bottle,23
hand,stroke,skin,23
hand,find,purchase,23
hand,move,side,23
hand,push,hair,23
hand,rub,arm,23
hand,encircle,wrist,23
hand,caress,chest,22
hand,leave,waist,22
hand,stroke,side,22
hand,touch,breast,22
hand,trail,arm,22
hand,grip,ankle,22
hand,grip,cock,22
hand,round,throat,22
hand,find,cock,22
hand,clutch,wheel,22
hand,caress,hip,22
hand,rub,circle,22
hand,find,hem,21
hand,brush,face,21
hand,clasp,wrist,21
hand,cup,hip,21
hand,find,mine,21
hand,fiste,hair,21
hand,grab,elbow,21
hand,hold,phone,21
hand,run,thigh,21
hand,slide,belly,21
hand,slide,stomach,21
hand,squeeze,ass,21
hand,trail,body,21
hand,touch,knob,20
hand,stroke,shoulder,20
hand,grasp,elbow,20
hand,grip,chin,20
hand,explore,curve,20
hand,grip,buttock,20
hand,rub,shoulder,20
hand,clutch,back,20
hand,grip,knife,20
hand,run,arm,20
hand,grip,bottom,20
hand,touch,wrist,20
hand,brush,side,20
hand,touch,thigh,20
hand,stroke,chest,20
hand,clutch,edge,20
hand,find,ass,19
hand,seize,wrist,19
hand,touch,body,19
hand,get,sweaty,19
hand,touch,ground,19
hand,clasp,back,19
hand,fondle,breast,19
hand,hold,weapon,19
hand,lift,chin,19
hand,make,movement,19
hand,find,thigh,19
hand,touch,leg,19
hand,find,button,19
hand,squeeze,hip,19
hand,trail,chest,19
hand,circle,wrist,19
hand,grip,bar,18
hand,move,chest,18
hand,find,place,18
hand,grip,heart,18
hand,grip,butt,18
hand,catch,her,18
hand,stroke,leg,18
hand,grab,waist,18
hand,clutch,hair,18
hand,hold,back,18
hand,stroke,body,18
hand,cover,heart,18
hand,grab,shirt,18
hand,cup,elbow,18
hand,grab,collar,18
hand,rub,thigh,18
hand,hold,wrist,18
hand,hover,inch,18
hand,pull,hair,18
hand,leave,arm,18
hand,move,leg,18
hand,grip,leg,17
hand,clutch,hip,17
hand,hold,hair,17
hand,cover,nose,17
hand,cup,mouth,17
hand,touch,hand,17
hand,swallow,her,17
hand,grab,neck,17
hand,find,grip,17
hand,grab,chin,17
hand,lift,head,17
hand,palm,breast,17
hand,have,tremor,17
hand,touch,neck,17
hand,caress,leg,17
hand,skim,body,17
hand,meet,skin,17
hand,touch,door,16
hand,grip,top,16
hand,touch,knee,16
hand,leave,wheel,16
hand,grip,frame,16
hand,grip,cheek,16
hand,palm,ass,16
hand,roam,chest,16
hand,travel,arm,16
hand,caress,ass,16
hand,spread,leg,16
hand,brush,skin,16
hand,slide,skin,16
hand,leave,mark,16
hand,slide,hip,16
hand,grab,mine,16
hand,travel,length,16
hand,grab,leg,16
hand,grab,her,16
hand,find,cheek,16
hand,move,neck,16
hand,trace,curve,16
hand,run,side,16
hand,grip,phone,16
hand,grasp,chin,16
hand,cover,ear,15
hand,grip,face,15
hand,grip,banister,15
hand,graze,cheek,15
hand,grip,pistol,15
hand,grasp,hair,15
hand,grasp,back,15
hand,grab,throat,15
hand,hold,hand,15
hand,hold,rein,15
hand,follow,path,15
hand,find,switch,15
hand,find,spot,15
hand,find,skin,15
hand,pat,shoulder,15
hand,pin,arm,15
hand,seize,shoulder,15
hand,slide,rib,15
hand,slide,waist,15
hand,squeeze,waist,15
hand,circle,neck,15
hand,grasp,breast,14
hand,skim,arm,14
hand,clutch,stomach,14
hand,grip,doorknob,14
hand,grasp,side,14
hand,find,chest,14
hand,touch,throat,14
hand,leave,mine,14
hand,grip,door,14
hand,leave,mouth,14
hand,find,small,14
hand,press,shoulder,14
hand,brush,thigh,14
hand,find,head,14
hand,apply,pressure,14
hand,grip,base,14
hand,grasp,handle,14
hand,massage,shoulder,14
hand,relax,grip,14
hand,find,arm,14
hand,feel,way,14
hand,grasp,edge,14
hand,find,curve,14
hand,find,clit,14
hand,touch,doorknob,14
hand,engulf,her,14
hand,take,life,14
hand,grasp,air,14
hand,wander,body,14
hand,clutch,gun,14
hand,stroke,breast,14
hand,cup,pussy,14
hand,cup,neck,14
hand,clutch,neck,14
hand,clutch,sheet,14
hand,cradle,cheek,14
hand,grip,breast,14
hand,slap,ass,14
hand,continue,work,14
hand,trace,pattern,14
hand,hold,firm,14
hand,slide,spine,14
hand,fiste,sheet,13
hand,smooth,back,13
hand,graze,thigh,13
hand,push,head,13
hand,clap,shoulder,13
hand,slap,face,13
hand,grab,breast,13
hand,reach,finger,13
hand,grasp,waist,13
hand,find,throat,13
hand,leave,head,13
hand,release,wrist,13
hand,hold,dagger,13
hand,clasp,side,13
hand,trace,circle,13
hand,squeeze,thigh,13
hand,touch,waist,13
hand,leave,pocket,13
hand,stroke,length,13
hand,touch,small,13
hand,clench,sheet,13
hand,grip,chair,13
hand,pin,wrist,13
hand,pinch,nipple,13
hand,hold,waist,13
hand,shake,head,13
hand,touch,flesh,13
hand,run,length,13
hand,pull,head,13
hand,stroke,belly,13
hand,rub,stomach,13
hand,grip,counter,13
hand,caress,bottom,12
hand,leave,back,12
hand,press,arm,12
hand,press,head,12
hand,pull,shirt,12
hand,push,door,12
hand,push,skirt,12
hand,knead,flesh,12
hand,keep,grip,12
hand,envelop,her,12
hand,hold,thigh,12
hand,search,body,12
